C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\consegna, 1042, Thu May  7 15:09:30 2020, Thu May  7 15:09:30 2020, Thu May  7 14:40:58 2020, True, True, True, 
C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\bin\osstat.py, 2688, Thu May  7 15:10:28 2020, Thu May  7 15:10:28 2020, Thu May  7 14:37:50 2020, True, True, True, 
C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\doc\README.md, 876, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, True, True, True, 
C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\flussi\osstat.csv, 1380, Thu May  7 15:13:44 2020, Thu May  7 15:13:44 2020, Thu May  7 15:08:37 2020, True, True, True, 
C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\log\log.log, 15777, Thu May  7 15:13:44 2020, Thu May  7 15:13:44 2020, Thu May  7 14:37:50 2020, True, True, True, 
1588857711.13333, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\consegna, 1042, Thu May  7 15:09:30 2020, Thu May  7 15:09:30 2020, Thu May  7 14:40:58 2020, True, True, True, 
1588857711.1453235, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\bin\osstat.py, 2710, Thu May  7 15:21:38 2020, Thu May  7 15:21:38 2020, Thu May  7 14:37:50 2020, True, True, True, 
1588857711.2262757, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\doc\README.md, 876, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, True, True, True, 
1588857711.2912478, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\flussi\osstat.csv, 2395, Thu May  7 15:21:51 2020, Thu May  7 15:21:51 2020, Thu May  7 15:08:37 2020, True, True, True, 
1588857711.3272178, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\log\log.log, 18785, Thu May  7 15:21:51 2020, Thu May  7 15:21:51 2020, Thu May  7 14:37:50 2020, True, True, True, 
2020-05-07 15:25:52.829307, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\consegna, 1042, Thu May  7 15:09:30 2020, Thu May  7 15:09:30 2020, Thu May  7 14:40:58 2020, True, True, True, 
2020-05-07 15:25:52.865288, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\bin\osstat.py, 2713, Thu May  7 15:25:39 2020, Thu May  7 15:25:39 2020, Thu May  7 14:37:50 2020, True, True, True, 
2020-05-07 15:25:52.984219, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\doc\README.md, 876, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, Thu May  7 14:37:50 2020, True, True, True, 
2020-05-07 15:25:53.100150, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\flussi\osstat.csv, 3476, Thu May  7 15:25:53 2020, Thu May  7 15:25:53 2020, Thu May  7 15:08:37 2020, True, True, True, 
2020-05-07 15:25:53.148122, C:\Users\proprietario\Desktop\scuola\3CI\SRI\sabaini_chiara_osstat_01_02\log\log.log, 22358, Thu May  7 15:25:53 2020, Thu May  7 15:25:53 2020, Thu May  7 14:37:50 2020, True, True, True, 
